"Component Status","Product","Reference","Source","Responsible","Start","End","Deadline","State","Quantity Producing","Quantity To Produce","Total Quantity","Product/Cost","Product/Sales Price"
"","[FURN_8855] Drawer","WH/MO/01679","","OdooBot","2024-01-03 01:00:00","2024-02-19 01:00:00","2024-01-25 01:00:00","Cancelled","12.0","17.0","17.0","100.0","110.5"
"","[FURN_8522] Table Top","WH/MO/07299","SO-8299","Default User Template","2024-01-03 01:00:00","2024-02-27 01:00:00","2024-01-22 01:00:00","Cancelled","4.0","13.0","13.0","240.0","380.0"
"Available","[FURN_9666] Table","WH/MO/02264","","Public user","2024-01-06 01:00:00","2024-02-06 01:00:00","2024-03-29 01:00:00","","19.0","19.0","19.0","290.0","520.0"
"Available","[FURN_7023] Wood Panel","WH/MO/03734","","Mitchell Admin","2024-01-06 01:00:00","2024-02-17 01:00:00","2024-03-20 01:00:00","","10.0","10.0","10.0","80.0","100.0"
"Available","[FURN_7023] Wood Panel","WH/MO/03614","SO-4614","Mitchell Admin","2024-01-07 01:00:00","2024-02-03 01:00:00","2024-03-11 01:00:00","","15.0","15.0","15.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/06044","","Portal User Template","2024-01-08 01:00:00","2024-02-14 01:00:00","2024-04-08 01:00:00","","11.0","11.0","11.0","100.0","110.5"
"","[FURN_7023] Wood Panel","WH/MO/07809","SO-8809","Portal User Template","2024-01-08 01:00:00","2024-02-12 01:00:00","2024-01-26 01:00:00","Cancelled","0.0","2.0","2.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/05554","","Mitchell Admin","2024-01-10 01:00:00","2024-02-19 01:00:00","2024-03-26 01:00:00","","12.0","12.0","12.0","300.0","450.0"
"","[FURN_8522] Table Top","WH/MO/01219","","Mitchell Admin","2024-01-11 01:00:00","2024-03-06 01:00:00","2024-01-17 01:00:00","Cancelled","3.0","9.0","9.0","240.0","380.0"
"","[FURN_7023] Wood Panel","WH/MO/04689","","Default User Template","2024-01-11 01:00:00","2024-02-23 01:00:00","2024-01-25 01:00:00","Cancelled","7.0","19.0","19.0","80.0","100.0"
"","[FURN_8855] Drawer","WH/MO/02089","","OdooBot","2024-01-12 01:00:00","2024-02-09 01:00:00","2024-01-22 01:00:00","Cancelled","9.0","14.0","14.0","100.0","110.5"
"","[FURN_7800] Desk Combination","WH/MO/07109","","Default User Template","2024-01-13 01:00:00","2024-02-02 01:00:00","2024-01-23 01:00:00","Cancelled","4.0","10.0","10.0","300.0","450.0"
"","[FURN_7800] Desk Combination","WH/MO/00519","","OdooBot","2024-01-14 01:00:00","2024-02-03 01:00:00","2024-01-20 01:00:00","Cancelled","6.0","9.0","9.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/08954","","Portal User Template","2024-01-14 01:00:00","2024-01-31 01:00:00","2024-03-29 01:00:00","","19.0","19.0","19.0","80.0","100.0"
"","[FURN_8855] Drawer","WH/MO/09559","","OdooBot","2024-01-15 01:00:00","2024-02-21 01:00:00","2024-01-25 01:00:00","Cancelled","1.0","3.0","3.0","100.0","110.5"
"","[FURN_9666] Table","WH/MO/02799","SO-3799","Default User Template","2024-01-16 01:00:00","2024-03-14 01:00:00","2024-02-08 01:00:00","Cancelled","6.0","17.0","17.0","290.0","520.0"
"","[FURN_8522] Table Top","WH/MO/06019","","Public user","2024-01-17 01:00:00","2024-03-10 01:00:00","2024-01-29 01:00:00","Cancelled","13.0","20.0","20.0","240.0","380.0"
"","[FURN_7800] Desk Combination","WH/MO/05419","","Portal User Template","2024-01-20 01:00:00","2024-03-01 01:00:00","2024-02-01 01:00:00","Cancelled","0.0","1.0","1.0","300.0","450.0"
"Available","[FURN_9666] Table","WH/MO/00374","","Default User Template","2024-01-21 01:00:00","2024-02-12 01:00:00","2024-04-12 01:00:00","","1.0","1.0","1.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/06544","SO-7544","OdooBot","2024-01-22 01:00:00","2024-02-14 01:00:00","2024-04-12 01:00:00","","17.0","17.0","17.0","100.0","110.5"
"Available","[FURN_8855] Drawer","WH/MO/06984","SO-7984","Default User Template","2024-01-22 01:00:00","2024-02-13 01:00:00","2024-04-08 01:00:00","","3.0","3.0","3.0","100.0","110.5"
"","[FURN_9666] Table","WH/MO/05329","","Portal User Template","2024-01-23 01:00:00","2024-02-19 01:00:00","2024-02-03 01:00:00","Cancelled","0.0","2.0","2.0","290.0","520.0"
"","[FURN_9666] Table","WH/MO/07559","","OdooBot","2024-01-24 01:00:00","2024-03-18 01:00:00","2024-02-02 01:00:00","Cancelled","5.0","13.0","13.0","290.0","520.0"
"Available","[FURN_7800] Desk Combination","WH/MO/01214","","OdooBot","2024-01-28 01:00:00","2024-02-13 01:00:00","2024-03-23 01:00:00","","9.0","9.0","9.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/06414","","Portal User Template","2024-01-28 01:00:00","2024-02-29 01:00:00","2024-03-05 01:00:00","","6.0","6.0","6.0","80.0","100.0"
"Available","[FURN_8522] Table Top","WH/MO/07714","","Mitchell Admin","2024-01-28 01:00:00","2024-02-15 01:00:00","2024-04-20 01:00:00","","13.0","13.0","13.0","240.0","380.0"
"Available","[FURN_7800] Desk Combination","WH/MO/02244","","OdooBot","2024-01-30 01:00:00","2024-02-23 01:00:00","2024-04-07 01:00:00","","5.0","5.0","5.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/08044","SO-9044","Mitchell Admin","2024-01-30 01:00:00","2024-03-06 01:00:00","2024-03-16 01:00:00","","1.0","1.0","1.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/09094","","Public user","2024-01-30 01:00:00","2024-02-23 01:00:00","2024-04-22 01:00:00","","16.0","16.0","16.0","300.0","450.0"
"Available","[FURN_7023] Wood Panel","WH/MO/08744","","Default User Template","2024-01-31 01:00:00","2024-02-23 01:00:00","2024-04-19 01:00:00","","14.0","14.0","14.0","80.0","100.0"
"Available","[FURN_7800] Desk Combination","WH/MO/07034","","Public user","2024-02-02 01:00:00","2024-02-23 01:00:00","2024-03-24 01:00:00","","12.0","12.0","12.0","300.0","450.0"
"","[FURN_7800] Desk Combination","WH/MO/08569","","Public user","2024-02-02 01:00:00","2024-02-24 01:00:00","2024-02-16 01:00:00","Cancelled","0.0","1.0","1.0","300.0","450.0"
"","[FURN_7023] Wood Panel","WH/MO/09179","","OdooBot","2024-02-04 01:00:00","2024-03-20 01:00:00","2024-02-15 01:00:00","Cancelled","4.0","5.0","5.0","80.0","100.0"
"Available","[FURN_8855] Drawer","WH/MO/00804","","Portal User Template","2024-02-07 01:00:00","2024-02-22 01:00:00","2024-04-15 01:00:00","","4.0","4.0","4.0","100.0","110.5"
"","[FURN_9666] Table","WH/MO/08759","","Portal User Template","2024-02-07 01:00:00","2024-02-29 01:00:00","2024-02-26 01:00:00","Cancelled","5.0","8.0","8.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/09744","","Default User Template","2024-02-07 01:00:00","2024-02-29 01:00:00","2024-04-26 01:00:00","","13.0","13.0","13.0","100.0","110.5"
"","[FURN_9666] Table","WH/MO/08979","","OdooBot","2024-02-08 01:00:00","2024-03-14 01:00:00","2024-02-20 01:00:00","Cancelled","10.0","13.0","13.0","290.0","520.0"
"Available","[FURN_8855] Drawer","WH/MO/05344","SO-6344","Mitchell Admin","2024-02-09 01:00:00","2024-03-12 01:00:00","2024-05-08 01:00:00","","20.0","20.0","20.0","100.0","110.5"
"","[FURN_9666] Table","WH/MO/00949","SO-1949","Public user","2024-02-10 01:00:00","2024-02-29 01:00:00","2024-02-15 01:00:00","Cancelled","5.0","9.0","9.0","290.0","520.0"
"Available","[FURN_8522] Table Top","WH/MO/09714","","Default User Template","2024-02-11 01:00:00","2024-02-26 01:00:00","2024-03-31 01:00:00","","2.0","2.0","2.0","240.0","380.0"
